Driver,Team,Compound,Sector1Time,Sector2Time,Sector3Time,TrackStatus,Session,AvgTemp,RainAmount_mm,RainProbability,WindSpeed_mps,Pressure_hPa,Humidity,UVIndex,DewPoint_C,LapTimeSeconds,StintLength,IsFastLap,DriverAvgPace,DriverSessionAvgPace,TeamMedianPace,TeamSessionMedianPace,IsSpanishGP,IsFP1,IsFP2,IsFP3,SessionProgression,IsCleanAir,AdjustedLapTime,DriverSessionLapCount,TrackEvolutionFactor
NOR,McLaren,HARD,0 days 00:00:22.311000,0 days 00:00:30.244000,0 days 00:00:23.078000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,75.633,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,83.57446499999999,25,1.0
NOR,McLaren,HARD,0 days 00:00:26.210000,0 days 00:00:51.467000,0 days 00:00:39.094000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,116.771,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,129.031955,25,1.0
NOR,McLaren,HARD,0 days 00:00:40.900000,0 days 00:00:51.691000,0 days 00:00:34.193000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,126.784,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,140.09632,25,1.0
NOR,McLaren,HARD,0 days 00:00:22.120000,0 days 00:00:30.198000,0 days 00:00:22.941000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,75.259,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,83.16119499999999,25,1.0
NOR,McLaren,HARD,0 days 00:00:22.853000,0 days 00:00:30.840000,0 days 00:00:30.534000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,84.227,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,93.070835,25,1.0
NOR,McLaren,HARD,0 days 00:00:22.413000,0 days 00:00:30.662000,0 days 00:00:23.356000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,76.431,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,84.456255,25,1.0
NOR,McLaren,HARD,0 days 00:00:22.759000,0 days 00:00:30.686000,0 days 00:00:29.831000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,83.276,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,92.01997999999999,25,1.0
NOR,McLaren,SOFT,0 days 00:00:21.866000,0 days 00:00:29.453000,0 days 00:00:22.399000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,73.718,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,81.45839000000001,25,1.0
NOR,McLaren,SOFT,0 days 00:00:26.211000,0 days 00:00:52.315000,0 days 00:00:47.680000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,126.206,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,139.45763,25,1.0
NOR,McLaren,SOFT,0 days 00:01:07.323000,0 days 00:00:49.909000,0 days 00:00:25.224000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,142.456,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,157.41387999999998,25,1.0
NOR,McLaren,SOFT,0 days 00:00:22.148000,0 days 00:00:29.748000,0 days 00:00:22.604000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,74.5,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,82.3225,25,1.0
NOR,McLaren,SOFT,0 days 00:00:22.123000,0 days 00:00:30.590000,0 days 00:00:28.177000,1.0,FP1,22.0,0.24,1.0,3.9,1019,55,9,15,80.89,0,0,92.00036923076924,91.88904000000001,81.1465,81.0855,1,1,0,0,1,1,89.38345,25,1.0
